tweet,sentiment
Bihar Divas ki hardik shubhkamanaye https://t.co/ivvCd5bZlX,Neutral
Bihar divas https://t.co/vpDiVokeg7,Neutral
"बिहार दिवस के अवसर पर समस्त बिहारवासियों को हार्दिक बधाई एवं शुभकामनाएं।
@officecmbihar
#BiharLabourResourcesDept 
#bihar 
#bihardivas 
#बिहार_दिवस https://t.co/AjzLSa7gQV",Neutral
Today Bihar celebrate #113_Bihar_Divas #22_March_2025 https://t.co/cmryMeV5Cp,Neutral
"बिहार दिवस के अवसर पर समस्त बिहारवासियों को हार्दिक बधाई एवं शुभकामनाएं।
#BiharEnergyDept 
#BSPHCL 
#विद्युतगतिसेबढ़ताबिहार 
#bihar 
#bihardivas 
#बिहार_दिवस https://t.co/G2vHSHuUMt",Neutral
"बिहारियों को बिहार दिवस की हार्दिक शुभकामनाये 🥰
 📌Special Thanks to @imbihar_01 for this Special Gift To Our MotherLand Bihar 😍🙌🙏🏻
#biharkikahani #bihardiwas #bihardivas #बिहारदिवस2025 https://t.co/ujNSTea9Rf",Positive
"Heartfelt Greetings on Glorious Bihar Diwas!

Bihar, the land that gave the world its first democracy, discovered zero, and spread the message of non-violence and wisdom, continues to take pride in its rich heritage. This is the land of Buddha, Mahavira, Chanakya, and Emperor https://t.co/kA88r0ATXZ",Positive
ULFA-Independent issues threat against #Bihar Divas celebrations on March 22 in Tinsukia. All these morons can do is target the Hindi bhashi community of #Assam. Do they have the guts to even question the illegal Bangladeshi Miyas in the state? https://t.co/YHl3GLCelQ,Negative
"Bihar Divas ❤️
#BiharDiwas 
#बिहार_दिवस
#bihardiwas2025 
#bihar https://t.co/bCqmaV9Q6g",Neutral
"Unnat Bihar, viksit Bihar 2025
#BiharDivas https://t.co/BHaUgRItFx",Neutral
"24 मार्च को बिहार आ रही हैं Sugandha Mishra, Bihar Diwas के अवसर पर सजाएंगी हंसी की महफिल 
#reelsvideo #Bihar | @sugandhamishra 

अन्य खबरों के लिए इस लिंक पर क्लिक करें: https://t.co/EizwxAPX28 https://t.co/eZRwbSgum1",Neutral
"कर्म, धर्म और ज्ञान की पावन भूमि बिहार के हमारे समस्त भाई-बहनों को 'बिहार स्थापना दिवस' की आत्मीय बधाई!

#biharDivas #बिहार_दिवस #बिहारदिवस2025 https://t.co/0IUvt1FIEs",Neutral
Bihar divas ki shubhkamana https://t.co/uzapHtjryw,Neutral
"lady behind Madhubani Art: the pride of Bihar (Sita Devi )🎨🖌️

📽️-manasroychannel https://t.co/1nHbppWGJJ",Negative
Bihar divas https://t.co/IYb0XNZOQR,Neutral
"बिहार की समृद्धि, संस्कृति, सभ्यता, ज्ञान और कला सदियों से भारत का मान बढ़ाया है और दिशा दिखाई है।
सभी प्रदेश वासियों को ""बिहार दिवस"" कि हार्दिक 
शुभकामनाए 🎄 
#Bihar_Divas https://t.co/Ej3zrjkDIP",Neutral
Bihar Divas ki hardik shubhkamnaye jai Bihar https://t.co/ZmoWg0Y9Fx,Neutral
"Apart from the Hindu vs Muslim issue, none of the points were about the economy
Happy Bihar Divas bhole bhale pahadiyon😂😂 https://t.co/i3Wimvc2hi",Positive
"Happy Bihar Divas to all my Bihari friends,

 May Lord Ram bless you with lots of gobhi. https://t.co/1nikFUAVhM",Positive
"On the auspicious occasion of Bihar Divas we The teachers of Bihar demand transfer.
#biharteachertransfer
#biharteachertransfer
#biharteacherstransfer
 #NitishKumar #sidarths https://t.co/bI0bVUlewC",Neutral
Bihar Divas ki hardik shubhkamanaye https://t.co/ivvCd5bZlX,Neutral
Bihar divas https://t.co/vpDiVokeg7,Neutral
"बिहार दिवस के अवसर पर समस्त बिहारवासियों को हार्दिक बधाई एवं शुभकामनाएं।
@officecmbihar
#BiharLabourResourcesDept 
#bihar 
#bihardivas 
#बिहार_दिवस https://t.co/AjzLSa7gQV",Neutral
Today Bihar celebrate #113_Bihar_Divas #22_March_2025 https://t.co/cmryMeV5Cp,Neutral
"बिहार दिवस के अवसर पर समस्त बिहारवासियों को हार्दिक बधाई एवं शुभकामनाएं।
#BiharEnergyDept 
#BSPHCL 
#विद्युतगतिसेबढ़ताबिहार 
#bihar 
#bihardivas 
#बिहार_दिवस https://t.co/G2vHSHuUMt",Neutral
"बिहारियों को बिहार दिवस की हार्दिक शुभकामनाये 🥰
 📌Special Thanks to @imbihar_01 for this Special Gift To Our MotherLand Bihar 😍🙌🙏🏻
#biharkikahani #bihardiwas #bihardivas #बिहारदिवस2025 https://t.co/ujNSTea9Rf",Positive
"Heartfelt Greetings on Glorious Bihar Diwas!

Bihar, the land that gave the world its first democracy, discovered zero, and spread the message of non-violence and wisdom, continues to take pride in its rich heritage. This is the land of Buddha, Mahavira, Chanakya, and Emperor https://t.co/kA88r0ATXZ",Positive
ULFA-Independent issues threat against #Bihar Divas celebrations on March 22 in Tinsukia. All these morons can do is target the Hindi bhashi community of #Assam. Do they have the guts to even question the illegal Bangladeshi Miyas in the state? https://t.co/YHl3GLCelQ,Negative
"Bihar Divas ❤️
#BiharDiwas 
#बिहार_दिवस
#bihardiwas2025 
#bihar https://t.co/bCqmaV9Q6g",Neutral
"Unnat Bihar, viksit Bihar 2025
#BiharDivas https://t.co/BHaUgRItFx",Neutral
"24 मार्च को बिहार आ रही हैं Sugandha Mishra, Bihar Diwas के अवसर पर सजाएंगी हंसी की महफिल 
#reelsvideo #Bihar | @sugandhamishra 

अन्य खबरों के लिए इस लिंक पर क्लिक करें: https://t.co/EizwxAPX28 https://t.co/eZRwbSgum1",Neutral
"कर्म, धर्म और ज्ञान की पावन भूमि बिहार के हमारे समस्त भाई-बहनों को 'बिहार स्थापना दिवस' की आत्मीय बधाई!

#biharDivas #बिहार_दिवस #बिहारदिवस2025 https://t.co/0IUvt1FIEs",Neutral
Bihar divas ki shubhkamana https://t.co/uzapHtjryw,Neutral
"lady behind Madhubani Art: the pride of Bihar (Sita Devi )🎨🖌️

📽️-manasroychannel https://t.co/1nHbppWGJJ",Negative
Bihar divas https://t.co/IYb0XNZOQR,Neutral
"बिहार की समृद्धि, संस्कृति, सभ्यता, ज्ञान और कला सदियों से भारत का मान बढ़ाया है और दिशा दिखाई है।
सभी प्रदेश वासियों को ""बिहार दिवस"" कि हार्दिक 
शुभकामनाए 🎄 
#Bihar_Divas https://t.co/Ej3zrjkDIP",Neutral
Bihar Divas ki hardik shubhkamnaye jai Bihar https://t.co/ZmoWg0Y9Fx,Neutral
"Apart from the Hindu vs Muslim issue, none of the points were about the economy
Happy Bihar Divas bhole bhale pahadiyon😂😂 https://t.co/i3Wimvc2hi",Positive
"Happy Bihar Divas to all my Bihari friends,

 May Lord Ram bless you with lots of gobhi. https://t.co/1nikFUAVhM",Positive
"On the auspicious occasion of Bihar Divas we The teachers of Bihar demand transfer.
#biharteachertransfer
#biharteachertransfer
#biharteacherstransfer
 #NitishKumar #sidarths https://t.co/bI0bVUlewC",Neutral
